Title,Directors,Year
Vacances,"Béatrice de Staël,Léo Wolfenstein",2022
Reprise en main,Gilles Perret.,2021
Battlefield,Zhaosheng Huang,2022
Un pour tous,Mimmo Calopresti,2015
Lamb,Valdimar Jóhannsson,2021
Les Harkis,Philippe Faucon,2022
Teddy,"Zoran Boukherma,Ludovic Boukherma",2020
In the Mood for Love,Wong Kar-Wai,1998
Maelström,Denis Villeneuve,2000
Sons of Philadelphia,Jérémie Guez,2020
Un zoo la nuit,Jean-Claude Lauzon,1987
Les Repentis,Icíar Bollaín,2021
Alone with You,Justin Brooks,2022
Le Bruit des moteurs,Philippe Grégoire,2021
Ima,Nils Tavernier,2022
La femme du fossoyeur,Khadar Ahmed,2021
The Artist,Michel Hazanavicius,2010
Face à la nuit,Ho Wi-ding,2018
"Inunaki, le village oublié",Takashi Shimizu,2019
Tori et Lokita,"Luc Dardenne,Jean-Pierre Dardenne",2022
Ponette,Jacques Doillon,1995
The Dead Lands : la terre des guerriers,Toa Fraser,2014
Driver,Walter Hill,1977
La Dame de trèfle,Jérôme Bonnell,2008
Tendre et saignant,Christopher Thompson,2020
Les Bien-aimés,Christophe Honoré,2011
Lèv la tèt dann fenwar (Quand la nuit se soulève),Érika Étangsalé,2021
C'est magnifique !,Clovis Cornillac,2020
Un beau matin,Mia Hansen-Løve,2022
Rodeo,Lola Quivoron,2022
Skin,Guy Nattiv,2018
Zaï Zaï Zaï Zaï,François Desagnat,2020
Détective Dee III : La légende des Rois Célestes,Tsui Hark,2018
La dégustation,Ivan Calbérac,2022
On sourit pour la photo,François Uzan,2020
Monsieur et Madame Adelman,Nicolas Bedos,2017
Tout fout le camp,Sébastien Betbeder,2022
Wild Men,Thomas Daneskov,2021
Night Call,Dan Gilroy,2011
Dear Hacker,Alice Lenay,2021
Stupid Things,Amman Abbasi,2016
The Fortress,Hwang Dong-hyuk,2017
Arctic,Joe Penna,2018
Parasite,Bong  Joon-ho,2019
Avec amour et acharnement,Claire Denis,2022
Galveston,Mélanie Laurent,2018
Le costume de mariage,Abbas Kiarostami,1976
Trois fois rien,Nadège Loiseau,2022
As Bestas,Rodrigo Sorogoyen,2022
Los Sonámbulos,Paula Hernández,2022
Des feux dans la nuit,Dominique Lienhard,2022
Avé,Konstantin Bojanov,2011
La brigade des 800,Hu Guan,2020
C'est la vie,Julien Rambaldi,2019
The Father,Florian Zeller,2020
Ludwig ou le crépuscule des dieux,Luchino Visconti,1972
Chronique d'une liaison passagère,Emmanuel Mouret,2022
Les volets verts,Jean Becker,2022
La pièce rapportée,Antonin Peretjatko,2020
Albatros,Xavier Beauvois,2020
Ninjababy,Yngvild Sve Flikke,2021
Mille milliards de dollars,Henri Verneuil,1982
I... Comme Icare,Henri Verneuil,1979
Ricky,François Ozon,2008
Beignets de tomates vertes,"Jon Avnet,Jon Avnet",1991
Battle for Saipan,Brandon Slagle,2022
Vivarium,Lorcan Finnegan,2019
Jésus de Montréal,Denys Arcand,1989
Dodo,Panos H. Koutras,2022
Les gardiennes du temps,Stephen Shimek,2022
Sauvetage au sommet,Li Jun,2021
Ecce Bombo,Nanni Moretti,1978
À propos de Joan,Laurent Larivière,2022
La cour des miracles,"Carine May,Hakim Zouhani",2022
Je suis un autarcique,Nanni Moretti,1976
"Ghoster, le fantôme aux miroirs",Ryan Bellgardt,2022
L'Ultime sacrifice,Todd Robinson,2020
Totem,Fred De Loof ,2021
Pourquoi pas toi,Evi Romen,2019
Zahorí,Marí Alessandrini,2021
L'équipier,Kieron J. Walsh,2019
The Last Thing Mary Saw,Edoardo Vitaletti,2020
Heroic Losers,Sebastián Borensztein,2019
Ça tourne à Saint-Pierre et Miquelon,Christian Monnier,2021
Mi Iubita mon amour,Noémie Merlant,2021
La forêt silencieuse,Saralisa Volm,2022
Histoires de petites gens,Djibril Diop Mambety,2022
Tre Piani,Nanni Moretti,2021
Les battantes,Astar Elkayam,2021
Placés,Nessim Chikhaoui ,2020
The Feast,Lee Haven Jones,2021
Everything Everywhere all at Once,"Daniel Scheinert,Daniel Kwan",2022
Achoura,Talal Selhami,2018
Plan A,"Doron Paz,Yoav Paz",2021
The Righteous,Mark O'Brien,2021
Firebird,Peeter Rebane,2021
Entre Nous,Jude Bauman,2023
La promesse d'un été,Katie Found,2020
Cama-Cruso,Dando,2022
Poppy Fields,Eugen Jebeleanu,2020
La cour,Hafsia Herzi,2022
Les amours de Beyto,Gitta Gsell,2020
Les opposés s'attirent,Mike Mosallam,2020
J'adore ce que vous faîtes,Philippe Guillard,2020
El Lobo : Le pensionnat,Joseph Hemsani,2017
Crescendo,Dror Zahavi,2020
Knocking,Frida Kempff,2021
Are you Lonesome Tonight ?,Shipei Wen,2021
La dérive des continents (au Sud),Lionel Baier,2022
La nuit du 12,Dominik Moll,2022
107 Mothers,Péter Kerekes,2021
La Verónica,Leonardo Medel,2020
La Solitude des nombres premiers,Saverio Costanzo,2009
Miss Marx,Susanna Nicchiarelli,2020
Défense d'atterrir,"Jae-rim Han,Han Jae-rim",2021
The Housewife,Yukio Mishima,2020
Tempura,Akiko Ohku,2020
Dédales,Bogdan George Apetri,2021
Tempête sur l'Asie,Vsevolod Poudovkine,1928
La Fin de Saint-Pétersbourg,Vsevolod Pudovkin,1927
Il faut vivre dangereusement,Claude Makovski,1975
Charles et Lucie,Nelly Kaplan,1979
Plaisir d'amour,Nelly Kaplan,1991
La Mère,Vsevolod Poudovkine,1926
Ultrasound,Roberto Schroeder,2021
Menteur,Olivier Baroux,2022
Marcel !,Jasmine Trinca,2022
Papa les petits bateaux,Nelly Kaplan,1971
The Cursed : Le Film,Yong-wan Kim,2021
Le chemin du bonheur,Nicolas Steil,2021
Je tremble ô matador,Rodrigo Sepúlveda,2020
All eyes off me,Hadas Ben Aroya,2021
Sundown,Michel Franco,2021
Peter Von Kant,François Ozon,2022
Jungle Rouge,Zoltan Horvath,2022
"Mamá, Mamá, Mamá",Sol Berruezo Pichon-Riviére,2020
Le Prince,Lisa Bierwirth,2021
Mascarpone,Alessandro Guida,2021
No hard feelings - Le monde est à vous,Faraz Shariat,2020
Les promesses d'Hasan,Semih Kaplanoğlu,2021
Si demain,Fabienne Godet,2020
Les travaux et les jours - Partie 2,"Anders Edström,C.W. Winter",2020
Les travaux et les jours - Partie 3,"C.W. Winter,Anders Edström",2020
Les travaux et les jours - Partie 1,"Anders Edström,C.W. Winter",2020
Mastemah,Didier D. Daarwin,2021
Sweat,Magnus von Horn,2020
Clara Sola,Nathalie Álvarez Mesén,2021
Coeurs vaillants,Mona Achache,2021
Los Fuertes,Omar Zúñiga Hidalgo,2020
Un été comme ça,Denis Côté,2022
Utama : la terre oubliée,Alejandro Loayza Grisi,2021
The Sadness,Rob Jabbaz,2021
El Buen Patrón,Fernando León de Aranoa,2021
Le grand mouvement,Kiro Russo,2021
Années 20,,2021
Les goûts et les couleurs,Michel Leclerc,2022
I Love Greece,Nafsika Guerry-Karamaounas,2022
Medusa,Anita Rocha da Silveira,2021
Music Hole,Gaëtan Lekens,2022
Incroyable mais vrai,"Quentin Dupieux,Quentin Dupieux",2020
L'école du bout du monde,Pawo Choyning Dorji,2020
Adieu au langage,Jean-Luc Godard,2014
La colline où rugissent les lionnes,Luàna Bajrami,2021
En roue libre,Didier Barcelo,2022
Le Golem,Paul Wegener,1920
Evolution,Kornel Mundruczó,2021
500 mètres sous terre,Kim Ji-Hoon,2021
Compétition officielle,"Mariano Cohn,Gastón Duprat",2021
Ma famille afghane,Michaela Pavlátová,2021
Il Buco,Michelangelo Frammartino,2021
Femmes de personne,Christopher Frank,1984
La Maison de la place Troubnaïa,Boris Barnet,1928
Miss Mend,Boris Barnet,1926
À l’ombre des filles,Etienne Comar,2020
Don Juan,Serge Bozon,2021
Babysitter,Monia Chokri,2020
Nitram,Justin Kurzel,2020
Vortex,Gaspar Noé,2021
L'Homme parfait,Xavier Durringer,2019
Les Animaux anonymes,Baptiste Rouveure,2019
Contes du hasard et autres fantaisies,Ryūsuke Hamaguchi,2021
Petite Nature,Samuel Theis,2019
L'Ombre d'un mensonge,Bouli Lanners,2019
En même temps,"Benoît Delépine,Gustave Kervern",2022
They Live in the Grey,"Burlee Vang,Abel Vang",2022
De nos frères blessés,Hélier Cisterne,2020
OSS 117 : alerte rouge en Afrique noire,Nicolas Bedos,2019
Aline,Valérie Lemercier,2019
Bac Nord,Cédric Jimenez,2020
Illusions perdues,Xavier Giannoli,2021
Serre-moi fort,Mathieu Amalric,2021
Les Choses humaines,Yvan Attal,2020
Le Café du pont,Manuel Poirier,2009
Mystère à Saint-Tropez,Nicolas Benamou,2019
Les Fantasmes,"David Foenkinos,Stéphane Foenkinos",2021
À nos enfants,Maria de Medeiros,2019
"Sally, fille de cirque",D.W. Griffith,1923
Nomads of the North,David Hartford,1920
Le Batelier de la Volga,Cecil B. DeMille,1926
Dinner in America,Adam Rehmeier,2020
Les Gagnants,"Laurent Junca,AZ.",2021
I Comete,Pascal Tagnati,2019
Periferic,Bogdan George Apetri,2010
Tire au flanc 62,"Claude de Givray,François Truffaut",1961
Shirin,Abbas Kiarostami,2008
Clèves,Rodolphe Tissot,2021
Take Me Somewhere Nice,Ena Sendijarevic,2019
Offseason,Mickey Keating,2021
Un monde sans pitié,Eric Rochant,1989
Tower. A Bright Day,Jagoda Szelc,2017
Ghost Dog : la voie du samouraï,Jim Jarmusch,1998
Le Bonheur,Alexandre Medvedkine,1935
Night Raiders,Danis Goulet,2021
Continuer,Joachim Lafosse,2018
Stranger Than Paradise,Jim Jarmusch,1983
Les Chevaliers Blancs,Joachim Lafosse,2015
Chez nous,Lucas Belvaux,2016
Permanent Vacation,Jim Jarmusch,1980
The Florida Project,Sean Baker,2016
"Moi, Daniel Blake",Ken Loach,2016
El Reino,Rodrigo Sorogoyen,2018
Le Carnaval,Marco Berger,2021
Le Redoutable homme des neiges,Val Guest,1957
Beyond the Infinite Two Minutes,Junta Yamaguchi,2020
Wilcox,Denis Côté,2019
Hygiène sociale,Denis Côté,2021
Les Meneuses,Ruth Caudeli,2022
"T-34, machines de guerre",Aleksei Sidorov,2018
The Innocents,Eskil Vogt,2021
3 aventures de Brooke,Yuan Qing,2018
Haute couture,Jocelyn Moorhouse,2015
Imperium,Daniel Ragussis,2016
Les Destinées d'Asher,Matan Yair,2017
Under the Skin,Jonathan Glazer,2013
American Animals,Bart Layton,2018
The World,Jia Zhangke,2004
L'Homme à la moto,Agustin Toscano,2018
Chez nous c'est trois !,Claude Duty,2013
Confessions : L'État de grâce,Jon Garcia,2016
L'Art d'Aimer,Emmanuel Mouret,2011
L'Amiral,Andreï Kravtchouk,2008
Confessions - Le Testament de l'amour,Jon Garcia,2013
Confessions,Jon Garcia,2012
The Maid,Lee Thongkham,2020
"Jeu, set et match",Ida Lupino,1951
Elle et lui,Leo McCarey,1939
L'Etat des choses,Wim Wenders,1981
Clémentine Chérie,Pierre Chevalier,1963
Alexandra,Alexandre Sokourov,2007
The Million Dollar Hotel,Wim Wenders,2000
Swiss Army Man,"Daniel Kwan,Daniel Scheinert",2016
Hit the Road,Panah Panahi,2021
Le Nageur,Adam Kalderon,2021
Employé / patron,Manuel Nieto Zas,2021
Bad Luck Banging or Loony Porn,Radu Jude,2021
Rabid,"Jen Soska,Sylvia Soska",2019
Karnawal,Juan Pablo Félix,2020
L'Origine du monde,Laurent Lafitte,2019
30 jours max,Tarek Boudali,2020
Police,Anne Fontaine,2020
Boîte noire,Yann Gozlan,2019
Le Cri du faucon,"Tyler Nilson,Michael Schwartz",2019
Chacun chez soi,Michèle Laroque,2020
Les Ennemis,Edouard Molinaro,1961
Stretch,Charles de Meaux,2011
Turning Gate,Hong Sang-soo,2002
Que la lumière soit !,Arthur Joffé,1998
Tel père tel fils,Hirokazu Kore-Eda,2013
Notre petite sœur,Hirokazu Kore-Eda,2015
13 m²,Barthélémy Grossmann,2007
Une affaire de famille,Hirokazu Kore-Eda,2018
Un amour impossible,Catherine Corsini,2018
Cherchez Hortense,Pascal Bonitzer,2012
Sibyl,Justine Triet,2019
Victoria,Justine Triet,2016
La Fracture,Catherine Corsini,2020
Mystery Train,Jim Jarmusch,1988
La Fille au bracelet,Stéphane Demoustier,2019
Dogman,Matteo Garrone,2018
Berlin Alexanderplatz,Burhan Qurbani,2018
Assassin(s),Mathieu Kassovitz,1996
Les Misérables,Ladj Ly,2019
Légitime Violence,Serge Leroy,1982
Le Casanova de Fellini,Federico Fellini,1976
Le Grand Retournement,Gérard Mordillat,2013
Cher frangin,Gérard Mordillat,1988
C'est arrivé demain,René Clair,1944
Slapface,Jeremiah Kipp,2021
Lisbonne Story,Wim Wenders,1994
Tom,Fabienne Berthaud,2021
Compañeros,Alvaro Brechner,2018
Night on Earth,Jim Jarmusch,1990
Camille Redouble,Noémie Lvovsky,2012
Suceurs de sang,Robert Hartford-Davis,1971
"Nosferatu, fantôme de la nuit",Werner Herzog,1978
High Ground,Stephen Johnson,2020
Subway,Luc Besson,1985
"Les Garçons et Guillaume, à table !",Guillaume Gallienne,2013
La Science des rêves,Michel Gondry,2006
Mon Rayon de Soleil,David Hastings,2021
L'Amour ou presque,Mike Doyle,2021
L'Atlantide,Jacques Feyder,1921
Terminus Paradis,Lucian Pintilie,1998
La Tentation d'Isabelle,Jacques Doillon,1985
Masques,Claude Chabrol,1987
Suis-moi je te fuis,Kôji Fukada,2020
En corps,Cédric Klapisch,2022
Les passagers de la nuit,Mikhaël Hers,2021
Fuis-moi je te suis,Kôji Fukada,2020
Plumes,Omar El Zohairy,2021
Procès de Jeanne d'Arc,Robert Bresson,1961
La Main du diable,Maurice Tourneur,1943
Les Aventures d'Ivan Tchonkine,Jirí Menzel,1994
Good Morning Babylone,"Vittorio Taviani,Paolo Taviani",1986
La Passion de Jeanne d'Arc,Carl Theodor Dreyer,1928
Le Dernier combat,Luc Besson,1983
La Beauté du Diable,René Clair,1949
Au revoir les enfants,Louis Malle,1987
Les Yeux sans visage,Georges Franju,1959
Taxi Blues,Pavel Lungin,1990
Fucking Fernand,Gérard Mordillat,1987
L'Atalante,Jean Vigo,1933
Adoption,Márta Mészáros,1975
Regarde-moi,Audrey Estrougo,2006
Toxic Affair,Philomène Esposito,1993
La Rivière perdue,Paul Shoulberg,2022
El Nino Pez,Lucía Puenzo,2008
I Want to Go Home,Alain Resnais,1989
Trop tard,Lucian Pintilie,1996
L'Enfer,Claude Chabrol,1993
"Si loin, si proche !",Wim Wenders,1993
Le Retour des Charlots,Jean Sarrus,1991
Nous maigrirons ensemble,Michel Vocoret,1979
"Blanche-Neige, la suite",Picha,2006
Le Bonheur de Pierre,Robert Ménard,2009
Broadcast Signal Intrusion,Jacob Gentry,2021
Théo et les métamorphoses,Damien Odoul,2020
L'Été l'éternité,Émilie Aussel,2020
Un fils du Sud,Barry Alexander Brown,2020
Apples,Christos Nikou,2020
L'Affaire Collini,Marco Kreuzpaintner,2019
Sous l'aile des anges,A.J. Edwards,2012
La Mif,Frédéric Baillif,2021
Les Sans-dents,Pascal Rabaté,2019
L'Ami américain,Wim Wenders,1976
Au Fil du temps,Wim Wenders,1975
Voyage,Scud,2013
Emmène-moi voir la mer,Marco Antonio Núñez,2021
Ogre,Arnaud Malherbe,2020
La Vraie Famille,Fabien Gorgeart,2021
Faux Mouvement,Wim Wenders,1975
Alice dans les villes,Wim Wenders,1973
Aristocrats,Yukiko Sode,2020
Belle,Mamoru Hosoda,2021
Qu'est-ce qu'elle a ma famille ?,Hélène Angel,2021
L'Angoisse du gardien de but au moment du penalty,Wim Wenders,1972
La Lettre écarlate,Wim Wenders,1972
Face à la mer,Ely Dagher,2021
La Croisade,Louis Garrel,2020
"Varsovie 83, une affaire d'État",Jan P. Matuszynski,2021
Libertad,Clara Roquet,2021
Murder Party,Nicolas Pleskof,2020
Porte de Vincennes,Claude Chamis,2019
Le Vampire a soif,Vernon Sewell,1967
Eye for an Eye,Paco Plaza,2021
Intolérance,David Wark Griffith,1916
Les Trois Âges,"Edward Cline,Buster Keaton",1923
Soirée Mortelle,Will Wernick,2021
Le Dernier Piano,Jimmy Keyrouz,2020
Kung-Fu Zohra,Mabrouk El Mechri,2020
Azuro,Matthieu Rozé,2022
Les Vedettes,Jonathan Barré,2020
Et il y eut un matin,Eran Kolirin,2021
Goliath,Frédéric Tellier,2020
Souvenirs goutte à goutte,Isao Takahata,1991
Isaac,"Ángeles Hernández,David Matamoros",2020
Robuste,Constance Meyer,2020
Un autre monde,Stéphane Brizé,2020
My Darling,Phil Connell,2020
Mousson Tropicale,Hong Khaou,2019
Liban 1982,Oualid Mouaness,2019
Ali & Ava,Clio Barnard,2021
Bluebird,Jérémie Guez,2019
Black Friday !,Casey Tebo,2021
Le Monde de John,Pascual Sisto,2021
Anomalie,Adam Sigal,2022
Enquête sur un scandale d'État,Thierry De Peretti,2020
Le Monde d'hier,Diastème,2021
Kill Me Please,Olias Barco,2009
Qu'est-ce qu'on va faire de Jacques ?,Marie Garel-Weiss,2021
La maison ensorcelée,Vernon Sewell,1968
Pixie,Barnaby Thompson,2020
Adieu les cons,Albert Dupontel,2020
Another Gay Movie,Todd Stephens,2005
Une mère,Sylvie Audcoeur,2021
A Chiara,Jonas Carpignano,2021
À plein temps,Éric Gravel,2021
Pour toujours,Ferzan Özpetek,2019
The Assistant,Kitty Green,2020
Maison de Retraite,Thomas Gilou,2020
Blood and Money,John Barr,2020
Women do cry,"Mina Mileva,Vesela Kazakova",2021
La Légende du Roi Crabe,"Alessio Rigo de Righi,Matteo Zoppis",2021
Moneyboys,C.B. Yi,2020
Zépon,Gilles Elie-Dit-Cosaque,2021
À nos 15 ans,Yuval Hadadi,2019
Boys boys boys,"Isabella Carbonell,Simone Bozzelli,Anderson Layke,Manuel Billi,Matt Carter,Leandro Goddinho",2021
Tout est possible,Brian Jordan Alvarez,2017
Compagnons,François Favrat,2021
The Beta Test,"Jim Cummings,PJ McCabe",2020
Anything for Jackson,Justin G. Dyck,2020
Conférence,Ivan I. Tverdovski,2020
Vitalina Varela,Pedro Costa,2019
Piccolo Corpo,Laura Samani,2020
Une jeune fille qui va bien,Sandrine Kiberlain,2020
Les jeunes amants,Carine Tardieu,2020
Ma nuit,Antoinette Boulat,2021
Les promesses,Thomas Kruithof,2021
Selon la police,Frédéric Videau,2020
Mes frères et moi,Yohan Manca,2021
L'Horizon,Emilie Carpentier,2021
The Power,Corinna Faith,2019
Une autre vie,Emmanuel Mouret,2013
"J'étais à la maison, mais...",Angela Schanelec,2019
Twist à Bamako,Robert Guédiguian,2020
"Bruno Reidal, confession d'un meurtrier",Vincent Le Port,2019
L'histoire de ma femme,Ildiko Enyedi,2021
Un héros,Asghar Farhadi,2021
Souterrain,Sophie Dupuis,2020
Vous ne désirez que moi,Claire Simon,2021
Great Freedom,Sebastian Meise,2021
Ouistreham,Emmanuel Carrère,2019
Une nuit à Paris,Antony Hickling,2021
Les Poings desserrés,Kira Kovalenko,2021
Ils sont vivants,Jérémie Elkaïm,2019
Jakob's Wife,Travis Stevens,2021
Les Saveurs du succès,Christoffer Boe,2021
Classe à part,Ivan I. Tverdovsky,2014
Tromperie,Arnaud Desplechin,2021
La Fièvre de Petrov,Kirill Serebrennikov,2020
Mica,Ismaël Ferroukhi,2020
Beauty Water,Cho Kyung-Hun,2020
Renaissance,"Matthew Fifer,Kieran Mulcare",2020
Dramarama,Jonathan Wysocki,2020
"Sweetie, You Won't Believe It",Yernar Nurgaliyev,2020
The Gateway,Michele Civetta,2021
Les Magnétiques,Vincent Maël Cardona,2019
Arthur Rambo,Laurent Cantet,2021
Goodbye Mister Wong,Kiyé Simon Luang,2020
Av: The Hunt,Emre Akay,2020
My Heart Can't Beat Unless You Tell It To,Jonathan Cuartas,2020
Los Lobos,Samuel Kishi Leopo,2019
Nos plus belles années,Gabriele Muccino,2019
Au crépuscule,Sharunas Bartas,2019
Memory Box,"Joana Hadjithomas,Khalil Joreige",2021
Luzzu,Alex Camilleri,2020
Madeleine Collins,Antoine Barraud,2019
Drive My Car,Ryūsuke Hamaguchi,2020
Shock Wave 2,Herman Yau,2020
Le Reste du monde,Damien Odoul,2011
The Singing Club,Peter Cattaneo,2019
M.F.A.,Natalia Leite,2017
Paris est toujours Paris,Luciano Emmer,1951
La Bataille de Marathon,"Jacques Tourneur,Bruno Vailati,Mario Bava",1959
Primavera,Renato Castellani,1950
La Ruée des Vikings,Mario Bava,1961
My Kid,Nir Bergman,2020
Les Sœurs de Gion,Kenji Mizoguchi,1936
Les Enfants du soleil,Majid Majidi,2020
Compartiment N°6,Juho Kuosmanen,2020
A Perfect Enemy,Kike Maíllo,2019
La place d'une autre,Aurélia Georges,2021
On est fait pour s'entendre,Pascal Elbé,2021
L'ennemi,Stephan Streker,2021
Catch the Fair One,Josef Kubota Wladyka,2021
"Nadia, Butterfly",Pascal Plante,2020
Le Sentier du diable,Matthew Montgomery,2018
Taxi,Gérard Pirès,1998
Saint-Narcisse,Bruce La Bruce,2021
L'Avventura,Michelangelo Antonioni,1959
Le Dernier Train,Nelo Risi,1966
Borrego,Jesse Harris,2021
Vicious Fun,Cody Calahan,2020
Laura nue,Nicolò Ferrari,1961
La Femme au gardénia,Fritz Lang,1953
Une aussi longue absence,Henri Colpi,1960
On l'appelle Trinita,Enzo Barboni,1970
Toilettes et parking publics,Thales Corrêa,2019
La Jeune Fille et l'Araignée,"Ramon Zürcher,Silvan Zürcher",2021
L'Homme de la cave,Philippe Le Guay,2021
Haut et Fort,Nabil Ayouch,2021
On continue à l'appeler Trinita,Enzo Barboni,1971
La Déesse des mouches à feu,Anaïs Barbeau-Lavalette,2020
Mon nom est Pécos,Maurizio Lucidi,1966
Le Colt du révérend,"León Klimovsky,Marino Girolami",1970
"Saludos, Hombre",Sergio Sollima,1968
"Lingui, les liens sacrés",Mahamat-Saleh Haroun,2021
Listen,Philippe Aractingi,2017
Olga,Elie Grappe,2020
Une vie démente,"Raphaël Balboni,Ann Sirot",2020
Outrage,Ida Lupino,1950
Julie (en 12 chapitres),Joachim Trier,2021
Petite Solange,Axelle Ropert,2020
Les amants sacrifiés,Kiyoshi Kurosawa,2020
Les Aventures d'un mathématicien,Thorsten Klein,2020
For The Sake of Vicious,"Gabriel Carrer,Reese Eveneshen",2020
La Ballade des coeurs perdus,Giorgia Farina,2020
Le Diable n'existe pas,Mohammad Rasoulof,2020
Slam,Partho Sen-Gupta,2018
Un endroit comme un autre,Uberto Pasolini,2020
9 mois ferme,Albert Dupontel,2012
Memoria,Apichatpong Weerasethakul,2021
Consentement mutuel,Bernard Stora,1994
Censor,Prano Bailey-Bond,2021
Beau fixe,Christian Vincent,1992
Sous les bombes,Philippe Aractingi,2007
Journal de Tûoa,"Miguel Gomes,Maureen Fazendeiro",2020
Portraits de voyages,Bastien Dubois,2013
Le Peuple Loup,"Ross Stewart,Tomm Moore",2020
Le Milieu de l'horizon,Delphine Lehericey,2018
Eugénie Grandet,Marc Dugain,2020
Les Olympiades,Jacques Audiard,2021
Las Niñas,Pilar Palomero,2020
La Voix d'Aïda,Jasmila Zbanic,2021
Happily,BenDavid Grabinski,2021
Blockbuster,July Hygreck,2017
Gaza mon amour,"Tarzan Nasser,Arab Nasser",2020
L'Évènement,Audrey Diwan,2021
Cigare au miel,Kamir Aïnouz,2019
A Good Man,Marie-Castille Mention-Schaar,2020
Amants,Nicole Garcia,2021
Bleu Nuit,Samuel Van Grinsven,2019
Stay Out of the Attic,Jerren Lauder,2020
De Mayerling à Sarajevo,Max Ophüls,1940
El Chuncho,Damiano Damiani,1965
La Terre des hommes,Naël Marandin,2020
L'échine du diable,Guillermo del Toro,2001
Violation,"Dusty Mancinelli,Madeleine Sims-Fewer",2020
Petite Sœur,"Stéphanie Chuat,Véronique Reymond",2020
After Love,Aleem Khan,2020
Tout s'est bien passé,François Ozon,2020
Pari,Siamak Etemadi,2020
Another Silence,Santiago Amigorena,2010
Deux vies plus une,Idit Cébula,2006
Les Derniers Jours,"Àlex Pastor,David Pastor",2012
Féminin Plurielles,Sébastien Bailly,2017
L'Armée du salut,Abdellah Taïa,2012
Django,Sergio Corbucci,1966
Guermantes,Christophe Honoré,2020
Old Henry,Potsy Ponciroli,2021
Tomber pour Ali,Romas Zabarauskas,2020
12 Hour Shift,Brea Grant,2020
Les Inshortables Volume 6,"Marine Levéel,Fabien Ara,Tamer Ruggli,Thierry Préval,Severine De Streyker,Maxime Feyers,Hakim Mao",2021
Le Genou d'Ahed,Nadav Lapid,2019
La Nuit des rois,Philippe Lacôte,2020
Mon légionnaire,Rachel Lang,2021
Les Héroïques,Maxime Roy,2021
Fragile,Emma Benestan,2021
Les Intranquilles,"Joachim Lafosse,Joachim Lafosse",2021
Je m'appelle Bagdad,Caru Alves de Souza,2020
Vent chaud,Daniel Nolasco,2020
Summer White,Rodrigo Ruiz Patterson,2020
Profession du père,Jean-Pierre Améris,2020
Laila in Haifa,Amos Gitai,2020
Flag Day,Sean Penn,2021
Rouge,Farid Bentoumi,2020
Le traducteur,"Rana Kazkaz,Anas Khalaf",2020
France,Bruno Dumont,2019
L'Hypothèse démocratique - Une histoire basque,Thomas Lacoste,2021
Anatomy of Time,Jakrawal Nilthamrong,2021
Le Gitan,José Giovanni,1975
Le Monde selon Werner Herzog 1967-1976,Werner Herzog,1962
Le Boulanger de Valorgue,Henri Verneuil,1953
Orca,Michael Anderson,1977
Les Caprices de Marie,Philippe de Broca,1970
Avec le sourire,Maurice Tourneur,1936
To Kill the Beast,Agustina San Martín,2021
Goodnight Soldier,Hiner Saleem,2021
Destruction Babies,Tetsuya Mariko,2016
La Chance sourit à madame Nikuko,Ayumu Watanabe,2021
Sentinelle Sud,Mathieu Gérault,2020
À la folie,Audrey Estrougo,2020
La Gueule ouverte,Maurice Pialat,1974
I Can't Think Straight,Shamim Sarif,2008
Une journée bien remplie,Jean-Louis Trintignant,1973
Les Zozos,Pascal Thomas,1973
Les Cousins,Claude Chabrol,1959
Le Pays où rêvent les fourmis vertes,Werner Herzog,1984
Cinq court métrages de Blandine Lenoir,Blandine Lenoir,2022
L'Annonce faite à Marie,Alain Cuny,1991
Sacrifice,Nico van den Brink,2022
Panda vs. Aliens,Sean Patrick O'Reilly,2021
Le Cri de la roche,Werner Herzog,1991
Werner Herzog et la religion,Werner Herzog,1981
Elena et les hommes,Jean Renoir,1956
Le Goût de la violence,Robert Hossein,1961
Sous le soleil de Satan,Maurice Pialat,1987
Untel père et fils,Julien Duvivier,1943
Trois Chambres à Manhattan,Marcel Carné,1965
Fogaréu,Flávia Neves,2022
Jenny,Marcel Carné,1936
La femme qui pleure,Jacques Doillon,1979
Ophélia,Claude Chabrol,1963
Memento Mori,Jean Heches,2021
Baba Yaga - La Forêt des damnés,"Nathalia Hencker,Svyatoslav Podgaevskiy",2019
La Ruche,Blerta Basholli,2021
Passe ton bac d'abord,Maurice Pialat,1978
Junk Head,Takahide Hori,2017
Les héros n'ont pas froid aux oreilles,Charles Nemes,1979
La Tendre ennemie,Max Ophüls,1936
La Caméra de bois,Ntshaveni Wa Luruli,2003
L'Afrique Fantôme,Werner Herzog,1970
Le téléphone sonne toujours deux fois,Jean-Pierre Vergne,1985
Uncle Peckerhead,Matthew John Lawrence,2020
La traversée,Florence Miailhe,2020
Le Sommet des dieux,Patrick Imbert,2021
La troisième guerre,Giovanni Aloi,2019
L'Ange exterminateur (El ángel exterminador),Luis Buñuel,1962
Silence Scandinave,Martti Helde,2019
Voyeurs,Kurtis David Harder,2019
After Midnight,"Jeremy Gardner,Christian Stella",2019
Jacinto,Javi Camino,2021
Journal d'un adolescent,Lucas Santa Ana,2019
Une affaire de femmes,Claude Chabrol,1988
Tralala,Arnaud Larrieu,2020
En Cage,Aaron Fjellman,2021
La bonne conduite,Arnaud Bédouet,2021
